                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7152,                 4.2279,                 1.9076,                0.40396,                0.12121,                0.06911,                 0.0425,                 1.1586,                 6.9197,                 1.3909,             0.00017148,             0.00017148,             0.00017148
                      2,                 1.1688,                 2.4614,                 1.4608,                0.46607,                0.82828,                0.56667,                0.40218,                 1.0928,                 3.7211,                 1.4995,             0.00033957,             0.00033957,             0.00033957
                      3,                 1.1363,                 2.1119,                 1.4042,                0.21289,                0.57576,                0.38532,                0.29062,                0.97046,                 3.7788,                 1.5073,             0.00048926,             0.00048926,             0.00048926
                      4,                 1.0359,                 1.9802,                 1.3536,                0.26261,                0.68648,                0.31811,                0.15789,                 2.0471,                  2.265,                 2.3744,             0.00062056,             0.00062056,             0.00062056
                      5,                 1.1954,                 1.8204,                  1.446,                0.42989,                0.53535,                0.39266,                 0.2028,                 2.2967,                  2.349,                  3.116,             0.00073348,             0.00073348,             0.00073348
                      6,                 1.2772,                 1.9091,                   1.51,                0.14119,                0.20202,                 0.1017,                0.04326,                 2.7683,                 4.1988,                 3.7479,               0.000828,               0.000828,               0.000828
                      7,                 1.3086,                 1.9302,                 1.5397,                0.09407,                0.47475,                0.14571,                0.04985,                 3.1481,                 17.235,                 4.4962,             0.00090413,             0.00090413,             0.00090413
                      8,                 1.2833,                 1.7746,                 1.5464,                0.14023,                0.53535,                0.13846,                0.07445,                 3.3081,                 14.632,                 5.0542,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.3262,                  1.785,                 1.5425,                0.27484,                0.56566,                0.37054,                0.20299,                 1.6102,                 4.5158,                 2.2463,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.2384,                 1.8224,                 1.5101,                 0.1515,                0.20202,                0.21319,                 0.0595,                 2.0547,                 14.972,                 2.8214,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2145,                  1.778,                 1.5229,                 0.4459,                0.72769,                0.41982,                0.23135,                 1.5728,                 2.7237,                  2.011,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.1375,                 1.5339,                 1.5312,                0.40869,                0.24267,                0.30277,                0.10612,                 2.0438,                 3.1347,                 2.5244,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.0831,                 1.4726,                 1.4841,                0.83912,                0.43434,                0.48669,                0.26867,                 1.4718,                 1.6077,                 1.7742,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.0611,                 1.4498,                  1.499,                0.74127,                0.46465,                0.49065,                0.27706,                 1.4179,                 1.7449,                 1.7606,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.0958,                 1.2969,                 1.5404,                0.56183,                0.95397,                0.64175,                0.44677,                 1.1224,                 1.2367,                 1.4351,             0.00050944,             0.00050944,             0.00050944
                     16,                 1.0294,                 1.2089,                 1.4327,                0.66126,                 0.8804,                0.73889,                0.53261,                0.83332,                 1.1695,                 1.3447,              0.0004387,              0.0004387,              0.0004387
                     17,                0.97436,                 1.0932,                 1.4879,                0.50135,                0.86376,                 0.6269,                0.48414,                 0.9574,                 1.3615,                 1.3323,             0.00036797,             0.00036797,             0.00036797
                     18,                0.86946,                 1.1279,                 1.3186,                0.62428,                0.85573,                 0.6744,                0.49568,                  1.027,                 1.2057,                 1.4271,             0.00029723,             0.00029723,             0.00029723
                     19,                0.79162,                0.97739,                  1.213,                 0.9479,                0.77652,                0.89557,                 0.6803,                 1.0297,                 1.0112,                 1.4564,              0.0002265,              0.0002265,              0.0002265
                     20,                 0.7133,                0.88321,                 1.1713,                0.81256,                      1,                  0.985,                0.73417,                0.90187,                0.83811,                 1.3209,             0.00015576,             0.00015576,             0.00015576
