                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5514,                 3.5764,                 1.8047,                0.89465,                0.21212,                0.22235,                0.12941,                 1.1194,                 5.2585,                 1.6074,             0.00017148,             0.00017148,             0.00017148
                      2,                 1.1621,                 2.5258,                 1.5152,                0.14133,                 0.6426,                0.22041,                0.08751,                 2.1029,                 4.0141,                 2.7012,             0.00033957,             0.00033957,             0.00033957
                      3,                 1.0699,                 2.0787,                 1.3772,                0.38722,                0.48485,                0.51563,                0.37098,                 1.6808,                 3.1365,                 2.1385,             0.00048926,             0.00048926,             0.00048926
                      4,                 1.0666,                  1.822,                 1.3577,                0.56528,                0.29293,                0.42391,                0.15604,                 2.4085,                 2.8243,                 2.7964,             0.00062056,             0.00062056,             0.00062056
                      5,                 1.0662,                 1.8185,                   1.37,                0.36645,                0.80499,                0.51358,                0.30609,                 1.3404,                 2.5755,                 1.8269,             0.00073348,             0.00073348,             0.00073348
                      6,                 1.1784,                 1.8894,                 1.4567,                0.67895,                0.37374,                0.46629,                0.24369,                 2.0009,                 5.2151,                 2.5725,               0.000828,               0.000828,               0.000828
                      7,                 1.2372,                 1.8337,                 1.4726,                0.23857,                0.71717,                0.41584,                0.27705,                 1.3885,                 6.3866,                 2.0606,             0.00090413,             0.00090413,             0.00090413
                      8,                 1.1943,                 1.6808,                 1.4505,                0.29575,                0.56566,                0.33019,                0.18831,                 1.8604,                 4.7347,                 2.6904,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.3059,                 1.8064,                 1.5606,                0.15858,                0.36364,                0.19332,                0.16795,                 2.3551,                 33.079,                 3.1258,             0.00093385,             0.00093385,             0.00093385
                     10,                 1.2468,                 1.7364,                 1.5116,                0.31611,                0.64646,                0.36379,                0.13463,                 2.1083,                 3.4876,                 2.7783,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2531,                 1.7491,                 1.7244,                0.54946,                0.56566,                0.39996,                0.17508,                 1.3631,                 2.7507,                 1.6256,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.2054,                 1.7208,                 1.6583,                0.29228,                0.77778,                0.48751,                0.25737,                 1.5774,                 2.5474,                 1.9631,             0.00072164,             0.00072164,             0.00072164
                     13,                    1.1,                 1.5668,                   1.55,                0.58995,                0.62033,                0.49824,                0.35854,                 1.1529,                 2.1213,                 1.7198,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.0815,                 1.5496,                 1.5168,                0.53236,                0.59596,                0.49668,                0.28313,                 1.2947,                 2.1724,                 1.7231,             0.00058017,             0.00058017,             0.00058017
                     15,                 1.1079,                 1.3643,                 1.6018,                0.44918,                0.67677,                 0.5243,                0.36516,                 1.4794,                 1.9855,                 1.7756,             0.00050944,             0.00050944,             0.00050944
                     16,                0.94914,                  1.241,                 1.3621,                0.64983,                0.79655,                 0.6421,                0.43625,                 1.0325,                 1.7385,                 1.4366,              0.0004387,              0.0004387,              0.0004387
                     17,                0.89592,                 1.0801,                 1.3453,                0.59592,                 0.8571,                0.73053,                0.56011,                 1.0149,                 1.4447,                 1.3757,             0.00036797,             0.00036797,             0.00036797
                     18,                0.85424,                 1.0149,                 1.2875,                0.58124,                0.84848,                0.67968,                0.57101,                0.70978,                 1.5066,                 1.1388,             0.00029723,             0.00029723,             0.00029723
                     19,                 0.8903,                 1.0379,                 1.3518,                0.54234,                0.85759,                0.64589,                0.50148,                0.68179,                 1.6046,                 1.1424,              0.0002265,              0.0002265,              0.0002265
                     20,                0.77153,                0.89493,                 1.2216,                0.59022,                0.92848,                0.68042,                0.49631,                 0.7885,                 1.1379,                 1.2076,             0.00015576,             0.00015576,             0.00015576
