                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4527,                 3.3456,                 1.7264,                0.38384,                0.59596,                0.63392,                0.48033,                0.92554,                 4.4711,                 1.3133,             0.00017148,             0.00017148,             0.00017148
                      2,                 1.0452,                 2.3502,                 1.4115,                0.32736,                0.35354,                0.34956,                0.17264,                 1.2407,                  4.659,                 1.6945,             0.00033957,             0.00033957,             0.00033957
                      3,                 1.1063,                  2.089,                 1.4163,                0.22282,                0.58071,                0.20825,                0.12097,                  1.607,                 8.4492,                    2.4,             0.00048926,             0.00048926,             0.00048926
                      4,                 1.0854,                 1.9151,                 1.3669,                0.51998,                0.45455,                0.33315,                0.25155,                 1.1699,                 5.9594,                 1.5641,             0.00062056,             0.00062056,             0.00062056
                      5,                 1.2467,                 1.9001,                 1.4825,                 0.0352,                0.09091,                0.03083,                0.01216,                 2.7699,                 5.7027,                 2.6714,             0.00073348,             0.00073348,             0.00073348
                      6,                 1.2059,                 1.9831,                 1.5193,                0.19663,                0.64646,                0.20683,                0.11543,                 2.4253,                 11.471,                 3.5666,               0.000828,               0.000828,               0.000828
                      7,                 1.2144,                 1.8718,                 1.5006,                0.18444,                0.41414,                  0.301,                0.10396,                 2.0918,                 10.958,                 2.8562,             0.00090413,             0.00090413,             0.00090413
                      8,                 1.1821,                 1.8133,                 1.4683,                0.19369,                0.33696,                0.15142,                0.04596,                 2.4053,                 4.0038,                 2.9932,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.3801,                 1.9818,                 1.5884,                0.09815,                0.29445,                0.12889,                0.09153,                 2.9727,                 3.9834,                 3.2128,             0.00093385,             0.00093385,             0.00093385
                     10,                  1.315,                  1.853,                 1.5517,                0.48994,                0.42424,                0.24963,                0.12682,                 2.2019,                 5.1074,                 2.5264,             0.00086312,             0.00086312,             0.00086312
                     11,                 1.2634,                  1.843,                 1.6391,                 0.3296,                0.78372,                0.45516,                0.21855,                  1.664,                 2.4695,                 1.9695,             0.00079238,             0.00079238,             0.00079238
                     12,                 1.2073,                 1.6928,                 1.6081,                0.21977,                0.68687,                0.53298,                0.31287,                 1.7723,                  11.59,                 2.8323,             0.00072164,             0.00072164,             0.00072164
                     13,                 1.0852,                 1.5507,                  1.488,                0.30075,                0.70363,                0.29672,                0.15639,                  1.371,                   5.73,                 1.9114,             0.00065091,             0.00065091,             0.00065091
                     14,                 1.0658,                 1.3495,                 1.4826,                0.49844,                0.67677,                0.33518,                 0.2099,                  1.388,                 3.7017,                 1.9004,             0.00058017,             0.00058017,             0.00058017
                     15,                0.96607,                 1.3176,                 1.3958,                0.33872,                0.60523,                0.43134,                0.26689,                 1.1515,                 2.0455,                 1.7051,             0.00050944,             0.00050944,             0.00050944
                     16,                0.91262,                 1.1477,                 1.3905,                0.69433,                0.56566,                0.51914,                0.38204,                0.95191,                 2.0319,                 1.3386,              0.0004387,              0.0004387,              0.0004387
                     17,                0.87946,                 1.1366,                 1.3509,                0.36149,                0.71717,                0.48587,                0.32219,                 1.0985,                 1.7085,                 1.3765,             0.00036797,             0.00036797,             0.00036797
                     18,                0.81811,                0.99536,                 1.2968,                0.60766,                0.62626,                0.46597,                0.33775,                 0.8856,                  1.834,                 1.3349,             0.00029723,             0.00029723,             0.00029723
                     19,                0.81311,                0.92175,                  1.273,                0.63473,                0.83576,                0.68881,                0.51175,                0.87354,                 1.3829,                  1.326,              0.0002265,              0.0002265,              0.0002265
                     20,                0.73018,                0.86385,                 1.1996,                 0.4422,                0.93359,                0.65773,                0.51068,                0.74907,                 1.1486,                 1.2314,             0.00015576,             0.00015576,             0.00015576
